"Time,Date";"Acc,X";"Acc,Y";"Acc,Z";"Acc.Abs"
216110;-5,90;6,90;3,39;9,69225
216120;-6,50;7,13;3,10;10,13016
216130;-7,17;7,59;2,96;10,84574
216140;-7,39;7,74;3,03;11,12147
216150;-7,17;8,27;3,19;11,39794
216160;-6,50;9,25;2,96;11,69214
216170;-6,66;10,32;3,04;12,64917
216180;-6,81;10,92;3,20;13,26276
216190;-6,44;11,83;3,20;13,84701
216200;-6,22;12,74;3,21;14,53813
216210;-6,22;12,97;3,51;14,80746
216220;-6,07;11,76;3,80;13,76474
216230;-5,46;9,33;3,18;11,26863
216240;-5,46;9,56;2,66;11,32385
216250;-5,47;10,92;3,04;12,58799
216260;-5,40;11,83;3,42;13,44797
216270;-5,62;11,91;3,42;13,606
216280;-6,14;11,45;3,50;13,45844
216290;-6,43;10,54;3,49;12,83668
216300;-6,51;9,71;3,26;12,13451
216310;-6,50;9,33;2,89;11,73395
216320;-6,28;9,10;2,51;11,33931
216330;-5,91;8,65;2,28;10,71638
216340;-5,76;8,27;2,05;10,28055
216350;-5,46;8,04;2,12;9,94559
216360;-4,79;7,59;2,26;9,24933
216370;-4,34;7,28;2,18;8,75204
216380;-4,04;6,98;2,18;8,35159
216390;-3,82;6,52;2,10;7,842
216400;-3,59;5,99;1,79;7,21035
216410;-3,59;5,54;1,41;6,74749
216420;-3,51;5,16;1,41;6,39722
216430;-3,29;5,01;1,56;6,18806
216440;-3,14;5,16;1,56;6,23584
216450;-2,84;5,54;1,56;6,41577
216460;-2,62;5,92;1,41;6,6222
216470;-2,48;6,37;1,11;6,92424
216480;-2,55;7,05;1,12;7,58385
216490;-2,48;7,21;1,34;7,73709
216500;-2,33;7,13;1,26;7,60633
216510;-2,25;6,98;1,11;7,41684
216520;-2,33;6,90;1,19;7,38012
216530;-2,48;6,75;1,41;7,32805
216540;-2,55;6,60;1,49;7,22893
216550;-2,62;6,45;1,34;7,0876
216560;-2,85;6,60;1,34;7,31101
216570;-3,22;6,83;1,12;7,62986
216580;-4,12;7,28;1,35;8,47314
216590;-4,78;7,13;2,03;8,82364
